FAMILLE;Période;Quantité;Taux de TVA;CA TTC;CA HT
Timbres poste;14/1/2025;2;0,0%;2,78 €;2,78 €
 paiement proximite;15/1/2025;2;0,0%;1 218,89 €;1 218,89 €
Accessoires fumeurs;15/1/2025;12;20,0%;27,50 €;22,93 €
Articles Divers Logista 20%;15/1/2025;22;20,0%;182,50 €;152,09 €
Bar 10%;15/1/2025;128;10,0%;179,60 €;163,12 €
Bar 20%;15/1/2025;126;20,0%;330,60 €;275,48 €
Briquets;15/1/2025;3;20,0%;5,70 €;4,76 €
Chewing Gum;15/1/2025;5;20,0%;11,60 €;9,67 €
Cigarettes Electroniques;15/1/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;15/1/2025;3;20,0%;5,10 €;4,25 €
Confiserie 5,5%;15/1/2025;4;5,5%;7,90 €;7,48 €
Jeux instantanés;15/1/2025;518;0,0%;2 365,00 €;2 365,00 €
Loto;15/1/2025;87;0,0%;820,30 €;820,30 €
MONETIQUE 0 %;15/1/2025;1;0,0%;20,00 €;20,00 €
Papier tubes et filtres;15/1/2025;40;20,0%;65,80 €;54,86 €
Tabac;15/1/2025;286;0,0%;4 083,85 €;4 083,85 €
TELEPHONIE 20.00 %;15/1/2025;1;20,0%;9,99 €;8,33 €
Timbres poste;15/1/2025;4;0,0%;5,56 €;5,56 €
Accessoires fumeurs;16/1/2025;16;20,0%;36,90 €;30,77 €
Articles Divers Logista 20%;16/1/2025;11;20,0%;103,10 €;85,88 €
Bar 10%;16/1/2025;132;10,0%;198,40 €;180,20 €
Bar 20%;16/1/2025;146;20,0%;363,70 €;303,03 €
Boissons à emporter;16/1/2025;3;5,5%;6,50 €;6,16 €
Briquets;16/1/2025;1;20,0%;2,00 €;1,67 €
Confiserie 20%;16/1/2025;5;20,0%;8,50 €;7,08 €
Confiserie 5,5%;16/1/2025;2;5,5%;2,40 €;2,28 €
Jeux instantanés;16/1/2025;300;0,0%;1 117,00 €;1 117,00 €
Loto;16/1/2025;83;0,0%;899,00 €;899,00 €
MONETIQUE 0 %;16/1/2025;2;0,0%;104,00 €;104,00 €
Papier tubes et filtres;16/1/2025;50;20,0%;90,10 €;75,10 €
Tabac;16/1/2025;323;0,0%;4 600,20 €;4 600,20 €
Timbres poste;16/1/2025;7;0,0%;25,02 €;25,02 €
Accessoires fumeurs;17/1/2025;11;20,0%;23,90 €;19,93 €
Articles Divers Logista 20%;17/1/2025;5;20,0%;46,70 €;38,90 €
Bar 10%;17/1/2025;177;10,0%;289,10 €;262,61 €
Bar 20%;17/1/2025;187;20,0%;550,90 €;459,14 €
Boissons à emporter;17/1/2025;4;5,5%;10,00 €;9,48 €
Briquets;17/1/2025;3;20,0%;5,70 €;4,76 €
Chewing Gum;17/1/2025;2;20,0%;4,30 €;3,58 €
Cigarettes Electroniques;17/1/2025;4;20,0%;19,20 €;16,00 €
Confiserie 20%;17/1/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;17/1/2025;4;5,5%;7,20 €;6,83 €
Jeux instantanés;17/1/2025;414;0,0%;1 850,00 €;1 850,00 €
Loto;17/1/2025;129;0,0%;1 182,30 €;1 182,30 €
Papier tubes et filtres;17/1/2025;41;20,0%;76,30 €;63,60 €
Tabac;17/1/2025;415;0,0%;5 659,05 €;5 659,05 €
Timbres poste;17/1/2025;10;0,0%;13,90 €;13,90 €
Accessoires fumeurs;18/1/2025;10;20,0%;31,90 €;26,57 €
Articles Divers Logista 20%;18/1/2025;19;20,0%;135,90 €;113,24 €
Bar 10%;18/1/2025;149;10,0%;226,30 €;205,56 €
Bar 20%;18/1/2025;128;20,0%;405,40 €;337,82 €
Boissons à emporter;18/1/2025;5;5,5%;11,50 €;10,90 €
Briquets;18/1/2025;2;20,0%;4,00 €;3,34 €
Chewing Gum;18/1/2025;3;20,0%;5,80 €;4,83 €
Cigarettes Electroniques;18/1/2025;2;20,0%;9,60 €;8,00 €
Confiserie 5,5%;18/1/2025;2;5,5%;5,00 €;4,74 €
E-BUSINESS 0 %;18/1/2025;1;0,0%;45,00 €;45,00 €
Jeux instantanés;18/1/2025;472;0,0%;2 035,00 €;2 035,00 €
Loto;18/1/2025;98;0,0%;985,60 €;985,60 €
Papier tubes et filtres;18/1/2025;36;20,0%;64,30 €;53,57 €
Tabac;18/1/2025;394;0,0%;5 295,90 €;5 295,90 €
Timbres poste;18/1/2025;10;0,0%;13,90 €;13,90 €
Accessoires fumeurs;19/1/2025;7;20,0%;13,00 €;10,85 €
Articles Divers Logista 20%;19/1/2025;5;20,0%;42,40 €;35,33 €
Bar 10%;19/1/2025;134;10,0%;204,20 €;185,50 €
Bar 20%;19/1/2025;138;20,0%;468,20 €;390,17 €
Boissons à emporter;19/1/2025;6;5,5%;13,00 €;12,32 €
Briquets;19/1/2025;5;20,0%;9,70 €;8,10 €
Chewing Gum;19/1/2025;1;20,0%;1,50 €;1,25 €
Confiserie 20%;19/1/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;19/1/2025;5;5,5%;9,40 €;8,92 €
Jeux instantanés;19/1/2025;210;0,0%;880,00 €;880,00 €
Loto;19/1/2025;62;0,0%;810,90 €;810,90 €
MONETIQUE 0 %;19/1/2025;5;0,0%;250,00 €;250,00 €
Papier tubes et filtres;19/1/2025;24;20,0%;45,40 €;37,85 €
Tabac;19/1/2025;267;0,0%;3 505,45 €;3 505,45 €
Timbres poste;19/1/2025;3;0,0%;4,17 €;4,17 €
Accessoires fumeurs;20/1/2025;7;20,0%;16,60 €;13,84 €
Articles Divers Logista 20%;20/1/2025;12;20,0%;84,60 €;70,50 €
Bar 10%;20/1/2025;144;10,0%;212,70 €;193,21 €
Bar 20%;20/1/2025;116;20,0%;336,30 €;280,28 €
Briquets;20/1/2025;5;20,0%;9,40 €;7,84 €
Chewing Gum;20/1/2025;5;20,0%;10,50 €;8,75 €
Confiserie 20%;20/1/2025;3;20,0%;4,70 €;3,91 €
Confiserie 5,5%;20/1/2025;5;5,5%;10,20 €;9,66 €
Jeux instantanés;20/1/2025;271;0,0%;1 165,00 €;1 165,00 €
Loto;20/1/2025;96;0,0%;966,60 €;966,60 €
MONETIQUE 0 %;20/1/2025;2;0,0%;104,00 €;104,00 €
Papier tubes et filtres;20/1/2025;62;20,0%;105,10 €;87,61 €
Tabac;20/1/2025;350;0,0%;4 771,25 €;4 771,25 €
TELEPHONIE 20.00 %;20/1/2025;1;20,0%;20,00 €;16,67 €
Timbres poste;20/1/2025;22;0,0%;45,87 €;45,87 €
 paiement proximite;21/1/2025;1;0,0%;135,00 €;135,00 €
Accessoires fumeurs;21/1/2025;9;20,0%;20,00 €;16,66 €
Articles Divers Logista 20%;21/1/2025;2;20,0%;15,40 €;12,83 €
Bar 10%;21/1/2025;141;10,0%;213,50 €;193,94 €
Bar 20%;21/1/2025;156;20,0%;490,50 €;408,78 €
Briquets;21/1/2025;2;20,0%;3,40 €;2,84 €
Chewing Gum;21/1/2025;4;20,0%;8,60 €;7,16 €
Confiserie 5,5%;21/1/2025;3;5,5%;2,80 €;2,66 €
Jeux instantanés;21/1/2025;405;0,0%;1 835,00 €;1 835,00 €
Loto;21/1/2025;104;0,0%;1 264,80 €;1 264,80 €
MONETIQUE 0 %;21/1/2025;2;0,0%;35,00 €;35,00 €
Papier tubes et filtres;21/1/2025;48;20,0%;80,10 €;66,77 €
Tabac;21/1/2025;285;0,0%;4 139,90 €;4 139,90 €
Timbres poste;21/1/2025;4;0,0%;5,56 €;5,56 €
Accessoires fumeurs;22/1/2025;9;20,0%;20,60 €;17,16 €
Articles Divers Logista 20%;22/1/2025;6;20,0%;51,00 €;42,50 €
Bar 10%;22/1/2025;116;10,0%;179,70 €;163,24 €
Bar 20%;22/1/2025;136;20,0%;378,80 €;315,65 €
Boissons à emporter;22/1/2025;4;5,5%;10,00 €;9,48 €
Chewing Gum;22/1/2025;5;20,0%;10,30 €;8,58 €
Confiserie 20%;22/1/2025;7;20,0%;11,90 €;9,92 €
Confiserie 5,5%;22/1/2025;4;5,5%;7,40 €;7,02 €
Jeux instantanés;22/1/2025;307;0,0%;1 313,00 €;1 313,00 €
Loto;22/1/2025;72;0,0%;866,70 €;866,70 €
MONETIQUE 0 %;22/1/2025;2;0,0%;60,00 €;60,00 €
Papier tubes et filtres;22/1/2025;38;20,0%;68,90 €;57,43 €
Tabac;22/1/2025;357;0,0%;4 819,50 €;4 819,50 €
TELEPHONIE 20.00 %;22/1/2025;1;20,0%;9,99 €;8,33 €
Timbres poste;22/1/2025;2;0,0%;2,78 €;2,78 €
Accessoires fumeurs;23/1/2025;9;20,0%;17,20 €;14,35 €
Articles Divers Logista 20%;23/1/2025;10;20,0%;85,00 €;70,84 €
Bar 10%;23/1/2025;162;10,0%;223,40 €;202,93 €
Bar 20%;23/1/2025;210;20,0%;521,40 €;434,50 €
Boissons à emporter;23/1/2025;4;5,5%;10,00 €;9,48 €
Briquets;23/1/2025;3;20,0%;5,10 €;4,26 €
Chewing Gum;23/1/2025;5;20,0%;9,00 €;7,50 €
Cigarettes Electroniques;23/1/2025;3;20,0%;14,40 €;12,00 €
Confiserie 5,5%;23/1/2025;3;5,5%;4,40 €;4,17 €
Jeux instantanés;23/1/2025;321;0,0%;1 358,00 €;1 358,00 €
Loto;23/1/2025;96;0,0%;1 349,50 €;1 349,50 €
MONETIQUE 0 %;23/1/2025;2;0,0%;65,00 €;65,00 €
Papier tubes et filtres;23/1/2025;32;20,0%;57,00 €;47,51 €
Tabac;23/1/2025;351;0,0%;4 715,85 €;4 715,85 €
Timbres poste;23/1/2025;2;0,0%;2,78 €;2,78 €
Accessoires fumeurs;24/1/2025;16;20,0%;40,90 €;34,07 €
Articles Divers Logista 20%;24/1/2025;14;20,0%;118,90 €;99,07 €
Bar 10%;24/1/2025;163;10,0%;257,30 €;233,77 €
Bar 20%;24/1/2025;253;20,0%;630,80 €;525,60 €
Boissons à emporter;24/1/2025;4;5,5%;10,00 €;9,48 €
Briquets;24/1/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;24/1/2025;1;20,0%;1,30 €;1,08 €
Cigarettes Electroniques;24/1/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;24/1/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;24/1/2025;12;5,5%;21,30 €;20,19 €
Jeux instantanés;24/1/2025;342;0,0%;1 404,00 €;1 404,00 €
Loto;24/1/2025;89;0,0%;724,80 €;724,80 €
MONETIQUE 0 %;24/1/2025;2;0,0%;70,00 €;70,00 €
Papier tubes et filtres;24/1/2025;57;20,0%;101,90 €;84,91 €
Tabac;24/1/2025;431;0,0%;6 003,85 €;6 003,85 €
Timbres poste;24/1/2025;2;0,0%;2,78 €;2,78 €
Accessoires fumeurs;25/1/2025;10;20,0%;23,40 €;19,51 €
Articles Divers Logista 20%;25/1/2025;15;20,0%;100,40 €;83,68 €
Bar 10%;25/1/2025;120;10,0%;183,90 €;167,07 €
Bar 20%;25/1/2025;171;20,0%;400,60 €;333,75 €
Confiserie 5,5%;25/1/2025;6;5,5%;12,50 €;11,85 €
Jeux instantanés;25/1/2025;379;0,0%;1 675,00 €;1 675,00 €
Loto;25/1/2025;125;0,0%;1 241,40 €;1 241,40 €
MONETIQUE 0 %;25/1/2025;3;0,0%;140,00 €;140,00 €
Papier tubes et filtres;25/1/2025;50;20,0%;83,10 €;69,28 €
Tabac;25/1/2025;331;0,0%;4 430,45 €;4 430,45 €
TELEPHONIE 20.00 %;25/1/2025;1;20,0%;14,99 €;12,49 €
Timbres poste;25/1/2025;1;0,0%;1,39 €;1,39 €
 paiement proximite;26/1/2025;1;0,0%;10,54 €;10,54 €
Accessoires fumeurs;26/1/2025;13;20,0%;33,10 €;27,58 €
Articles Divers Logista 20%;26/1/2025;4;20,0%;43,60 €;36,33 €
Bar 10%;26/1/2025;161;10,0%;290,80 €;264,21 €
Bar 20%;26/1/2025;147;20,0%;390,10 €;325,07 €
Briquets;26/1/2025;1;20,0%;2,00 €;1,67 €
Chewing Gum;26/1/2025;1;20,0%;1,30 €;1,08 €
Cigarettes Electroniques;26/1/2025;5;20,0%;24,00 €;20,00 €
Confiserie 20%;26/1/2025;2;20,0%;3,00 €;2,50 €
Confiserie 5,5%;26/1/2025;3;5,5%;5,20 €;4,94 €
Jeux instantanés;26/1/2025;468;0,0%;1 771,00 €;1 771,00 €
Loto;26/1/2025;97;0,0%;1 174,00 €;1 174,00 €
MONETIQUE 0 %;26/1/2025;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;26/1/2025;25;20,0%;41,00 €;34,18 €
Tabac;26/1/2025;201;0,0%;2 973,50 €;2 973,50 €
Accessoires fumeurs;27/1/2025;8;20,0%;19,70 €;16,42 €
Articles Divers Logista 20%;27/1/2025;6;20,0%;41,10 €;34,25 €
Articles Divers Logista 5,5%;27/1/2025;2;5,5%;27,80 €;26,36 €
Bar 10%;27/1/2025;151;10,0%;216,30 €;196,53 €
Bar 20%;27/1/2025;145;20,0%;474,50 €;395,41 €
Boissons à emporter;27/1/2025;4;5,5%;10,00 €;9,48 €
Briquets;27/1/2025;4;20,0%;7,10 €;5,93 €
Chewing Gum;27/1/2025;12;20,0%;23,00 €;19,16 €
Confiserie 5,5%;27/1/2025;3;5,5%;5,70 €;5,41 €
Jeux instantanés;27/1/2025;399;0,0%;1 734,00 €;1 734,00 €
Loto;27/1/2025;124;0,0%;1 333,80 €;1 333,80 €
MONETIQUE 0 %;27/1/2025;3;0,0%;298,00 €;298,00 €
Papier tubes et filtres;27/1/2025;39;20,0%;66,30 €;55,27 €
Tabac;27/1/2025;354;0,0%;4 856,75 €;4 856,75 €
TELEPHONIE 20.00 %;27/1/2025;1;20,0%;19,99 €;16,66 €
 paiement proximite;28/1/2025;2;0,0%;100,40 €;100,40 €
Accessoires fumeurs;28/1/2025;4;20,0%;7,30 €;6,09 €
Articles Divers Logista 20%;28/1/2025;6;20,0%;32,20 €;26,82 €
Articles Divers Logista 5,5%;28/1/2025;2;5,5%;27,80 €;26,36 €
Bar 10%;28/1/2025;145;10,0%;223,40 €;202,97 €
Bar 20%;28/1/2025;143;20,0%;377,60 €;314,64 €
Boissons à emporter;28/1/2025;2;5,5%;5,00 €;4,74 €
Briquets;28/1/2025;3;20,0%;5,70 €;4,76 €
Chewing Gum;28/1/2025;1;20,0%;1,50 €;1,25 €
Confiserie 20%;28/1/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;28/1/2025;1;5,5%;2,00 €;1,90 €
Jeux instantanés;28/1/2025;388;0,0%;1 897,00 €;1 897,00 €
Loto;28/1/2025;76;0,0%;1 396,50 €;1 396,50 €
MONETIQUE 0 %;28/1/2025;1;0,0%;15,00 €;15,00 €
Papier tubes et filtres;28/1/2025;34;20,0%;60,10 €;50,10 €
Tabac;28/1/2025;317;0,0%;4 266,95 €;4 266,95 €
TELEPHONIE 20.00 %;28/1/2025;1;20,0%;10,00 €;8,33 €
Timbres poste;28/1/2025;1;0,0%;1,39 €;1,39 €
Accessoires fumeurs;29/1/2025;12;20,0%;27,30 €;22,76 €
Articles Divers Logista 20%;29/1/2025;13;20,0%;94,00 €;78,32 €
Bar 10%;29/1/2025;144;10,0%;201,60 €;183,12 €
Bar 20%;29/1/2025;183;20,0%;429,50 €;357,88 €
Briquets;29/1/2025;2;20,0%;3,40 €;2,84 €
Chewing Gum;29/1/2025;6;20,0%;15,00 €;12,50 €
Confiserie 20%;29/1/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;29/1/2025;3;5,5%;6,80 €;6,45 €
Jeux instantanés;29/1/2025;296;0,0%;1 131,00 €;1 131,00 €
Loto;29/1/2025;82;0,0%;1 152,50 €;1 152,50 €
MONETIQUE 0 %;29/1/2025;9;0,0%;1 808,00 €;1 808,00 €
Papier tubes et filtres;29/1/2025;56;20,0%;99,20 €;82,66 €
Tabac;29/1/2025;392;0,0%;5 581,30 €;5 581,30 €
Timbres poste;29/1/2025;3;0,0%;19,46 €;19,46 €
 paiement proximite;30/1/2025;2;0,0%;120,00 €;120,00 €
Accessoires fumeurs;30/1/2025;14;20,0%;55,00 €;45,83 €
Articles Divers Logista 20%;30/1/2025;21;20,0%;180,00 €;149,99 €
Articles Divers Logista 5,5%;30/1/2025;1;5,5%;13,90 €;13,18 €
Bar 10%;30/1/2025;144;10,0%;222,80 €;202,40 €
Bar 20%;30/1/2025;150;20,0%;384,40 €;320,31 €
Briquets;30/1/2025;2;20,0%;3,40 €;2,84 €
Chewing Gum;30/1/2025;2;20,0%;2,80 €;2,33 €
Cigarettes Electroniques;30/1/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;30/1/2025;2;20,0%;3,40 €;2,84 €
Confiserie 5,5%;30/1/2025;6;5,5%;10,80 €;10,24 €
Jeux instantanés;30/1/2025;372;0,0%;1 535,00 €;1 535,00 €
Loto;30/1/2025;91;0,0%;1 260,00 €;1 260,00 €
MONETIQUE 0 %;30/1/2025;3;0,0%;40,00 €;40,00 €
Papier tubes et filtres;30/1/2025;46;20,0%;79,60 €;66,37 €
Tabac;30/1/2025;364;0,0%;4 975,55 €;4 975,55 €
TELEPHONIE 20.00 %;30/1/2025;1;20,0%;5,00 €;4,17 €
Timbres poste;30/1/2025;2;0,0%;18,07 €;18,07 €
Accessoires fumeurs;31/1/2025;13;20,0%;29,80 €;24,84 €
Articles Divers Logista 20%;31/1/2025;7;20,0%;62,50 €;52,07 €
Articles Divers Logista 5,5%;31/1/2025;1;5,5%;13,90 €;13,18 €
Bar 10%;31/1/2025;152;10,0%;254,50 €;231,21 €
Bar 20%;31/1/2025;207;20,0%;566,60 €;472,14 €
Boissons à emporter;31/1/2025;1;5,5%;1,50 €;1,42 €
Chewing Gum;31/1/2025;3;20,0%;6,00 €;5,00 €
Cigarettes Electroniques;31/1/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;31/1/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;31/1/2025;8;5,5%;13,50 €;12,81 €
Jeux instantanés;31/1/2025;318;0,0%;1 295,00 €;1 295,00 €
Loto;31/1/2025;93;0,0%;829,60 €;829,60 €
MONETIQUE 0 %;31/1/2025;2;0,0%;90,00 €;90,00 €
Papier tubes et filtres;31/1/2025;60;20,0%;101,80 €;84,83 €
Tabac;31/1/2025;427;0,0%;6 097,65 €;6 097,65 €
TELEPHONIE 20.00 %;31/1/2025;1;20,0%;10,00 €;8,33 €
Timbres poste;31/1/2025;24;0,0%;33,36 €;33,36 €
 paiement proximite;1/2/2025;1;0,0%;90,00 €;90,00 €
Accessoires fumeurs;1/2/2025;7;20,0%;18,60 €;15,51 €
Articles Divers Logista 20%;1/2/2025;12;20,0%;81,10 €;67,58 €
Bar 10%;1/2/2025;165;10,0%;263,80 €;239,64 €
Bar 20%;1/2/2025;153;20,0%;360,40 €;300,30 €
Boissons à emporter;1/2/2025;7;5,5%;15,50 €;14,69 €
Briquets;1/2/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;1/2/2025;3;20,0%;6,00 €;5,00 €
Cigarettes Electroniques;1/2/2025;4;20,0%;19,20 €;16,00 €
Confiserie 20%;1/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;1/2/2025;6;5,5%;8,20 €;7,78 €
Jeux instantanés;1/2/2025;526;0,0%;2 514,00 €;2 514,00 €
Loto;1/2/2025;89;0,0%;1 019,80 €;1 019,80 €
MONETIQUE 0 %;1/2/2025;5;0,0%;663,00 €;663,00 €
Papier tubes et filtres;1/2/2025;40;20,0%;69,20 €;57,69 €
Tabac;1/2/2025;423;0,0%;5 634,70 €;5 634,70 €
TELEPHONIE 20.00 %;1/2/2025;1;20,0%;10,00 €;8,33 €
Accessoires fumeurs;2/2/2025;6;20,0%;26,30 €;21,92 €
Articles Divers Logista 20%;2/2/2025;2;20,0%;20,00 €;16,67 €
Articles Divers Logista 5,5%;2/2/2025;1;5,5%;13,90 €;13,18 €
Bar 10%;2/2/2025;161;10,0%;284,30 €;258,33 €
Bar 20%;2/2/2025;156;20,0%;396,40 €;330,31 €
Boissons à emporter;2/2/2025;7;5,5%;17,50 €;16,59 €
Chewing Gum;2/2/2025;2;20,0%;3,00 €;2,50 €
Confiserie 5,5%;2/2/2025;2;5,5%;4,00 €;3,80 €
Jeux instantanés;2/2/2025;404;0,0%;1 735,00 €;1 735,00 €
Loto;2/2/2025;56;0,0%;717,20 €;717,20 €
MONETIQUE 0 %;2/2/2025;4;0,0%;361,00 €;361,00 €
Papier tubes et filtres;2/2/2025;25;20,0%;44,90 €;37,42 €
Tabac;2/2/2025;213;0,0%;2 945,40 €;2 945,40 €
Timbres poste;2/2/2025;3;0,0%;4,17 €;4,17 €
Accessoires fumeurs;3/2/2025;14;20,0%;35,10 €;29,26 €
Articles Divers Logista 20%;3/2/2025;6;20,0%;33,70 €;28,07 €
Articles Divers Logista 5,5%;3/2/2025;1;5,5%;13,90 €;13,18 €
Bar 10%;3/2/2025;134;10,0%;241,00 €;218,95 €
Bar 20%;3/2/2025;135;20,0%;389,00 €;324,14 €
Briquets;3/2/2025;2;20,0%;3,40 €;2,84 €
Chewing Gum;3/2/2025;2;20,0%;3,00 €;2,50 €
Confiserie 20%;3/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;3/2/2025;8;5,5%;14,20 €;13,46 €
Jeux instantanés;3/2/2025;334;0,0%;1 324,00 €;1 324,00 €
Loto;3/2/2025;69;0,0%;719,50 €;719,50 €
MONETIQUE 0 %;3/2/2025;4;0,0%;687,00 €;687,00 €
Papier tubes et filtres;3/2/2025;60;20,0%;99,90 €;83,27 €
Tabac;3/2/2025;410;0,0%;5 566,35 €;5 566,35 €
Timbres poste;3/2/2025;3;0,0%;4,17 €;4,17 €
Accessoires fumeurs;4/2/2025;11;20,0%;31,10 €;25,93 €
Articles Divers Logista 20%;4/2/2025;7;20,0%;47,50 €;39,57 €
Articles Divers Logista 5,5%;4/2/2025;1;5,5%;13,90 €;13,18 €
Bar 10%;4/2/2025;166;10,0%;272,70 €;247,76 €
Bar 20%;4/2/2025;114;20,0%;306,50 €;255,41 €
Briquets;4/2/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;4/2/2025;3;20,0%;7,50 €;6,25 €
Confiserie 5,5%;4/2/2025;7;5,5%;14,50 €;13,75 €
Jeux instantanés;4/2/2025;415;0,0%;1 835,00 €;1 835,00 €
Loto;4/2/2025;81;0,0%;884,10 €;884,10 €
MONETIQUE 0 %;4/2/2025;2;0,0%;75,00 €;75,00 €
Papier tubes et filtres;4/2/2025;57;20,0%;98,10 €;81,76 €
Tabac;4/2/2025;374;0,0%;5 309,50 €;5 309,50 €
Timbres poste;4/2/2025;2;0,0%;2,78 €;2,78 €
 paiement proximite;5/2/2025;1;0,0%;30,00 €;30,00 €
Accessoires fumeurs;5/2/2025;16;20,0%;38,60 €;32,19 €
Articles Divers Logista 20%;5/2/2025;5;20,0%;43,90 €;36,58 €
Articles Divers Logista 5,5%;5/2/2025;4;5,5%;71,60 €;67,87 €
Bar 10%;5/2/2025;152;10,0%;232,00 €;210,74 €
Bar 20%;5/2/2025;162;20,0%;446,90 €;372,42 €
Boissons à emporter;5/2/2025;7;5,5%;16,50 €;15,64 €
Briquets;5/2/2025;2;20,0%;3,40 €;2,84 €
Chewing Gum;5/2/2025;4;20,0%;5,60 €;4,66 €
Confiserie 20%;5/2/2025;3;20,0%;5,10 €;4,26 €
Confiserie 5,5%;5/2/2025;8;5,5%;11,10 €;10,53 €
Jeux instantanés;5/2/2025;293;0,0%;1 182,00 €;1 182,00 €
Loto;5/2/2025;74;0,0%;751,10 €;751,10 €
MONETIQUE 0 %;5/2/2025;5;0,0%;350,00 €;350,00 €
Papier tubes et filtres;5/2/2025;47;20,0%;85,70 €;71,43 €
Tabac;5/2/2025;380;0,0%;5 078,95 €;5 078,95 €
Timbres poste;5/2/2025;1;0,0%;1,39 €;1,39 €
Accessoires fumeurs;6/2/2025;17;20,0%;38,10 €;31,75 €
Articles Divers Logista 20%;6/2/2025;7;20,0%;59,50 €;49,58 €
Articles Divers Logista 5,5%;6/2/2025;1;5,5%;21,90 €;20,76 €
Bar 10%;6/2/2025;131;10,0%;203,80 €;185,15 €
Bar 20%;6/2/2025;180;20,0%;447,60 €;373,03 €
Boissons à emporter;6/2/2025;7;5,5%;17,50 €;16,59 €
Briquets;6/2/2025;3;20,0%;5,10 €;4,26 €
Chewing Gum;6/2/2025;1;20,0%;1,50 €;1,25 €
Confiserie 5,5%;6/2/2025;1;5,5%;2,00 €;1,90 €
Jeux instantanés;6/2/2025;336;0,0%;1 306,00 €;1 306,00 €
Loto;6/2/2025;91;0,0%;642,00 €;642,00 €
MONETIQUE 0 %;6/2/2025;1;0,0%;25,00 €;25,00 €
Papier tubes et filtres;6/2/2025;48;20,0%;87,60 €;73,01 €
Tabac;6/2/2025;354;0,0%;4 718,85 €;4 718,85 €
Timbres poste;6/2/2025;4;0,0%;5,56 €;5,56 €
 paiement proximite;7/2/2025;1;0,0%;90,00 €;90,00 €
Accessoires fumeurs;7/2/2025;13;20,0%;32,00 €;26,67 €
Articles Divers Logista 20%;7/2/2025;17;20,0%;126,00 €;105,00 €
Articles Divers Logista 5,5%;7/2/2025;2;5,5%;27,80 €;26,36 €
Bar 10%;7/2/2025;183;10,0%;294,20 €;267,25 €
Bar 20%;7/2/2025;191;20,0%;510,20 €;425,10 €
Boissons à emporter;7/2/2025;1;5,5%;2,50 €;2,37 €
Briquets;7/2/2025;3;20,0%;5,10 €;4,26 €
Chewing Gum;7/2/2025;2;20,0%;3,00 €;2,50 €
Confiserie 20%;7/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;7/2/2025;8;5,5%;16,40 €;15,55 €
Jeux instantanés;7/2/2025;585;0,0%;2 697,00 €;2 697,00 €
Loto;7/2/2025;138;0,0%;1 448,60 €;1 448,60 €
Papier tubes et filtres;7/2/2025;48;20,0%;93,30 €;77,77 €
Tabac;7/2/2025;449;0,0%;6 081,75 €;6 081,75 €
TELEPHONIE 20.00 %;7/2/2025;1;20,0%;9,90 €;8,25 €
Timbres poste;7/2/2025;1;0,0%;1,39 €;1,39 €
 paiement proximite;8/2/2025;1;0,0%;83,55 €;83,55 €
Accessoires fumeurs;8/2/2025;12;20,0%;31,50 €;26,26 €
Articles Divers Logista 20%;8/2/2025;9;20,0%;80,50 €;67,08 €
Bar 10%;8/2/2025;161;10,0%;245,90 €;223,37 €
Bar 20%;8/2/2025;179;20,0%;465,40 €;387,86 €
Boissons à emporter;8/2/2025;1;5,5%;1,50 €;1,42 €
Briquets;8/2/2025;4;20,0%;7,40 €;6,18 €
Chewing Gum;8/2/2025;4;20,0%;7,50 €;6,25 €
Cigarettes Electroniques;8/2/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;8/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;8/2/2025;4;5,5%;5,70 €;5,40 €
E-BUSINESS 0 %;8/2/2025;2;0,0%;42,00 €;42,00 €
Jeux instantanés;8/2/2025;428;0,0%;1 577,00 €;1 577,00 €
Loto;8/2/2025;92;0,0%;1 255,70 €;1 255,70 €
MONETIQUE 0 %;8/2/2025;2;0,0%;24,00 €;24,00 €
Papier tubes et filtres;8/2/2025;41;20,0%;74,90 €;62,44 €
Tabac;8/2/2025;395;0,0%;5 283,00 €;5 283,00 €
TELEPHONIE 20.00 %;8/2/2025;2;20,0%;19,99 €;16,66 €
Timbres poste;8/2/2025;1;0,0%;1,39 €;1,39 €
Accessoires fumeurs;9/2/2025;14;20,0%;31,80 €;26,50 €
Articles Divers Logista 5,5%;9/2/2025;2;5,5%;31,80 €;30,14 €
